Party,Text
Democrat,"['how', 'calm', 'were', 'children', 'couldnt', 'see', 'parents', 'because', 'were', 'afraid', 'could', 'kill', 'them']"
Republic,"['you', 'know', 'not', 'day', 'gone', 'i', 'havent', 'thought', 'every', 'american', 'family', 'lost', 'loved', 'one', 'and', 'i', 'want', 'know', 'youll', 'always', 'hearts', 'prayers', 'but', 'say', 'american', 'people', 'done', 'over', 'these', 'last', 'eight', 'months', 'hasnt', 'worked', 'great', 'disservice', 'sacrifices', 'american', 'people', 'made', 's', 's', 's']"
Democrat,"['im', 'referring', 'president']"
Republic,"['the', 'reality', '–', 'if', 'i', 'may', 'if', 'i', 'may', 'finish', 'senator', 'the', 'reality', 'dr', 'fauci', 'said', 'everything', 'told', 'president', 'oval', 'office', 'president', 'told', 'american', 'people', 'now', 'president', 'trump', 'i', 'tell', 'boundless', 'confidence', 'american', 'people', 'always', 'spoke', 'confidence', 'well', 'get', 'through', 'together', 'but', 'say', 'hasnt', 'worked', 'when', 'dr', 'fauci', 'dr', 'birks', 'medical', 'experts', 'came', 'second', 'week', 'march', 'said', 'if', 'president', 'didnt', 'take', 'unprecedented', 'step', 'shutting', 'down', 'roughly', 'half', 'american', 'economy', 'we', 'could', 'lose', '22', 'million', 'americans', 'but', 'reality', 's']"
Republic,"['they', 'also', 'said', 'if', 'we', 'did', 'everything', 'right', 'susan', 'we', 'could', 'still', 'lose', 'more', 'than', '200000', 'americans']"
Republic,"['now', 'one', 'life', 'lost', 'too', 'susan']"
Republic,"['but', 'american', 'people', 'i', 'believe', 'deserve', 'credit', 'sacrifices', 'made', 'putting', 'health', 'family', 'neighbors', 'first', 'doctors', 'nurses', 'first', 'responders', '–']"
Republic,"['–', 'im', 'going', 'speak', 'up', 'behalf', 'american', 'people', 'done']"
Republic,"['well', 'american', 'people', 'demonstrated', 'over', 'last', 'eight', 'months', 'given', 'facts', 'theyre', 'willing', 'put', 'health', 'families', 'neighbors', 'people', 'dont', 'even', 'know', 'first', 'president', 'trump', 'i', 'great', 'confidence', 'american', 'people', 'ability', 'take', 'information', 'put', 'into', 'practice', 'in', 'height', 'epidemic', 'we', 'were', 'losing', 'heartbreaking', 'number', '2500', 'americans', 'day', 'we', 'surged', 'resources', 'new', 'jersey', 'new', 'york', 'new', 'orleans', 'detroit', 'we', 'told', 'american', 'people', 'needed', 'done', 'american', 'people', 'made', 'sacrifices', 'when', 'outbreak', 'sunbelt', 'happened', 'summer', 'again', 'americans', 'stepped', 'forward', 'but', 'reality', 'work', 'president', 'united', 'states', 'goes', 'on', 'a', 'vacancy', 'supreme', 'court', 'united', 'states', 'has', 'come', 'upon', 'president', 'introduced', 'judge', 'amy', 'coney', 'barrett', '–']"
Republic,"['at', 'that', 'if', 'i', 'may', 'say', 'rose', 'garden', 'event', 'great', 'deal', 'speculation', 'about', 'it', 'my', 'wife', 'karen', 'i', 'were', 'honored', 'there', 'many', 'people', 'were', 'event', 'susan', 'actually', 'were', 'tested', 'coronavirus', 'and', 'outdoor', 'event', 'scientists', 'regularly', 'routinely', 'advise', 'difference', 'president', 'trump', 'i', 'trust', 'american', 'people', 'make', 'choices', 'best', 'interest', 'health', 'joe', 'biden', 'kamala', 'harris', 'consistently', 'talk', 'about', 'mandates', 'not', 'not', 'just', 'mandates', 'coronavirus', 'government', 'takeover', 'health', 'green', 'new', 'deal', '–', 's']"
Republic,"['–', 'government', 'control', 'were', 'about', 'freedom', 'respecting', 'freedom', 'american', 'people']"
Democrat,"['let', 'talk', 'about', 'respecting', 'american', 'people', 'you', 'respect', 'american', 'people', 'tell', 'truth', 'you', 'respect', 'american', 'people', 'courage', 'leader', '–', 's']"
Republic,"['which', 'weve', 'always', 'done', '–']"
Democrat,"['–', 'speaking', 'those', 'things', 'may', 'not', 'want', 'people', 'hear', 'need', 'hear', 'so', 'can', 'protect', 'themselves', 'but', 'administration', 'stood', 'information', 'if', 'had', 'parent', 'if', 'had', 'worker', 'knowing', 'didnt', 'enough', 'money', 'saved', 'up', 'now', 'youre', 'standing', 'food', 'line', 'because', 'ineptitude', 'administration', 'unwilling', 'speak', 'truth', 'american', 'people', 'so', 'let', 'talk', 'about', 'caring', 'about', 'american', 'people', 'the', 'american', 'people', 'had', 'sacrifice', 'far', 'too', 'much', 'because', 'incompetence', 'administration', 'it', 'asking', 'too', 'much', 'people', '–', 's']"
Republic,"['susan', 'we', 'talked', 'about', 'american', 'people', '–']"
Democrat,"['–', 'it', 'asking', 'too', 'much', 'people', 'would', 'not', 'equipped', 'information', 'need', 'help', 'themselves', 'protect', 'parents', 'children']"
Republic,"['susan', 'president', '–']"
Democrat,"['it', 'fine', 'im', 'kamala', 's']"
Democrat,"['if', 'public', 'health', 'professionals', 'if', 'dr', 'fauci', 'if', 'doctors', 'tell', 'we', 'should', 'take', 'ill', 'first', 'line', 'take', 'it', 'absolutely', 'but', 'if', 'donald', 'trump', 'tells', 'we', 'should', 'take', 'im', 'not', 'taking', 'it']"
Republic,"['well', 'susan', 'thank', 'you', 'although', 'i', 'would', 'like', 'go', 'back', '–']"
Republic,"['well', 'thank', 'i', 'would', 'like', 'go', 'back', 'because', 'reality', 'were', 'going', 'vaccine', 'senator', 'record', 'time', 'unheard', 'time', 'less', 'than', 'year', 'we', 'five', 'companies', 'phase', 'three', 'clinical', 'trials', 'and', 'were', 'right', 'now', 'producing', '10s', 'millions', 'doses', 'so', 'fact', 'continue', 'undermine', 'public', 'confidence', 'vaccine', 'if', 'vaccine', 'emerges', 'during', 'trump', 'administration', 'i', 'think', 'unconscionable', 'and', 'senator', 'i', 'just', 'asked', 'stop', 'playing', 'politics', 'people', 'lives', 'the', 'reality', 'we', 'vaccine', 'we', 'believe', 'before', 'end', 'year', 'capacity', 'save', 'countless', 'american', 'lives', 'and', 'continuous', 'undermining', 'confidence', 'vaccine', 'just', 'just', 'unacceptable', 'and', 'let', 'also', 'say', 'know', 'reality', 'talk', 'about', 'about', 'failure', 'administration', 'we', 'actually', 'do', 'know', 'failure', 'looks', 'like', 'pandemic', 'it', '2009', 'the', 'swine', 'flu', 'arrived', 'united', 'states', 'thankfully', 'ended', 'up', 'not', 'being', 'lethal', 'coronavirus', 'but', 'before', 'end', 'year', 'joe', 'biden', 'vice', 'president', 'united', 'states', 'not', 'seven', 'half', 'million', 'people', 'contracted', 'swine', 'flu', '60', 'million', 'americans', 'contracted', 'swine', 'flu', 'if', 'swine', 'flu', 'had', 'lethal', 'coronavirus', '2009', 'joe', 'biden', 'vice', 'president', 'we', 'would', 'lost', '2', 'million', 'american', 'lives', 'his', 'own', 'chief', 'staff', 'ron', 'klain', 'would', 'say', 'last', 'year', 'pure', 'luck', 'that', 'did', 'everything', 'possible', 'wrong', 'and', 'we', 'learned', 'that', 'they', 'left', 'strategic', 'national', 'stockpile', 'empty', 'they', 'left', 'empty', 'hollow', 'plan', 'we', 'still', 'learned', 'it', 'and', 'i', 'think', '–', 's', 's']"
Republic,"['–', 'american', 'people', 'im', 'gonna', 'say', 'again', 'can', 'proud', 'we', 'done']"
Republic,"['–', 'senator', 'please', 'stop', 'undermining', 'confidence', 'vaccine']"
Democrat,"['so', 'let', 'tell', 'first', 'day', 'i', 'got', 'call', 'joe', 'biden', 'actually', 'zoom', 'call', 'asking', 'serve', 'ticket', 'probably', 'one', 'most', 'memorable', 'memorable', 'days', 'life', 'i', 'know', 'i', 'thought', 'about', 'mother', 'came', 'united', 'states', 'age', '19', 'gave', 'birth', 'age', '25', 'kaiser', 'hospital', 'oakland', 'california', 'and', 'thought', 'id', 'sitting', 'right', 'now', 'i', 'know', 'would', 'make', 'proud', 'must', 'looking', 'down', 'this', 'you', 'know', 'joe', 'i', 'were', 'raised', 'very', 'similar', 'way', 'we', 'were', 'raised', 'values', 'about', 'hard', 'work', 'about', 'value', 'dignity', 'public', 'service', 'about', 'importance', 'fighting', 'dignity', 'people', 'and', 'i', 'think', 'joe', 'asked', 'serve', 'because', 'i', 'career', 'included', 'being', 'elected', 'first', 'woman', 'district', 'attorney', 'san', 'francisco', 'i', 'created', 'models', 'innovation', 'law', 'enforcement', 'terms', 'reform', 'criminal', 'justice', 'system', 'i', 'elected', 'first', 'woman', 'color', 'black', 'woman', 'elected', 'attorney', 'general', 'state', 'california', 'i', 'ran', 'second', 'largest', 'department', 'justice', 'united', 'states', 'second', 'only', 'united', 'states', 'department', 'justice', 'there', 'i', 'took', 'everything', 'transnational', 'criminal', 'organizations', 'big', 'banks', 'were', 'taking', 'advantage', 'homeowners', 'profit', 'colleges', 'were', 'taking', 'advantage', 'veterans', 'and', 'then', 'course', 'now', 'i', 'serve', 'united', 'states', 'senate', 'only', 'second', 'black', 'woman', 'ever', 'elected', 'united', 'states', 'senate', 'i', 'serve', 'senate', 'intelligence', 'committee', 'ive', 'regular', 'receipt', 'classified', 'information', 'about', 'threats', 'nation', 'hotspots', 'around', 'world', 'ive', 'traveled', 'world', 'ive', 'met', 'soldiers', 'war', 'zones', 'and', 'i', 'think', 'joe', 'has', 'asked', 'serve', 'because', 'knows', 'we', 'share', 'we', 'share', 'purpose', 'about', 'lifting', 'up', 'american', 'people', 'and', 'after', 'four', 'years', 'we', 'seen', 'donald', 'trump', 'unifying', 'country', 'around', 'common', 'values', 'principles']"
Republic,"['well', 'susan', 'thank', 'you', 'and', 'let', 'let', 'say', 'behalf', 'president', 'first', 'lady', 'moved', 'weve', 'outpouring', 'prayers', 'concern', 'president', 'and', 'i', 'do', 'believe', 'emblematic', 'prayers', 'concern', 'ushered', 'forth', 'every', 'american', 'impacted', 'coronavirus', 'but', 'care', 'president', 'received', 'walter', 'reed', 'white', 'house', 'doctors', 'exceptional', 'and', 'transparency', 'practiced', 'along', 'continue', 'because', 'american', 'people', 'right', 'know', 'about', 'health', 'wellbeing', 'president', 'and', 'well', 'continue', 'do', 'that', 'but', 'im', 'just', 'extremely', 'grateful', 'more', 'than', 'more', 'than', 'little', 'moved', 'broad', 'bipartisan', 'support', 'and', 'senator', 'i', 'want', 'thank', 'joe', 'biden', 'expressions', 'genuine', 'concern', 'and', 'i', 'also', 'want', 'congratulate', 'i', 'did', 'phone', 'call', 'historic', 'nature', 'nomination', 's']"
Democrat,"['thank', 'you']"
Republic,"['i', 'never', 'expected', 'stage', 'four', 'years', 'ago', 'so', 'i', 'know', 'feeling', 'but', 'reality', 'weve', 'got', 'election', 'before', 'american', 'people', 'midst', 'challenging', 'year', 'stakes', 'never', 'higher']"
Democrat,"['absolutely', 'and', 'joe', 'biden', 'has', 'so', 'incredibly', 'transparent', 'and', 'certainly', 'contrast', 'president', 'has', 'not', 'both', 'terms', 'health', 'records', 'also', 'let', 'look', 'taxes', 'we', 'now', 'know', 'because', 'great', 'investigative', 'journalism', 'donald', 'trump', 'paid', '750', 'taxes', 'when', 'i', 'first', 'heard', 'about', 'i', 'literally', 'said', 'you', 'mean', '750000', 'and', 'like', 'no', '750', 'we', 'now', 'know', 'donald', 'trump', 'owes', 'debt', '400', 'million', 'and', 'just', 'so', 'everyone', 'clear', 'we', 'say', 'debt', 'means', 'owe', 'money', 'somebody', 'and', 'id', 'really', 'good', 'know', 'president', 'united', 'states', 'commander', 'chief', 'owes', 'money', 'because', 'american', 'people', 'right', 'know', 'influencing', 'preident', 'decisions', 'and', 'making', 'those', 'decisions', 'best', 'interest', 'american', 'people', 'self', 'interest', 'so', 'susan', 'im', 'glad', 'asked', 'about', 'transparency', 'because', 'has', 'across', 'board', 'joe', 'has', 'incredibly', 'transparent', 'over', 'years', 'the', 'one', 'thing', 'we', 'know', 'about', 'joe', 'puts', 'out', 'there', 'he', 'honest', 'he', 'forthright', 'but', 'donald', 'trump', 'other', 'hand', 'has', 'about', 'covering', 'up', 'everything', 's', 's', 's']"
Republic,"['susan', '–']"
Republic,"['thank', '–', 'thanks', '–', 'thank', 'senator', 'harris', 'i', 'want', 'give', 'chance', 'respond', 'vice', 'president']"
Republic,"['well', 'look', 'i', 'respect', 'fact', 'joe', 'biden', 'spent', '47', 'years', 'public', 'life', 'i', 'respect', 'public', 'service', 'well']"
Democrat,"['thank', 'you']"
Republic,"['but', 'american', 'people', 'president', 'businessman', 'jobcreator', 'he', 'paid', '10s', 'millions', 'dollars', 'taxes', 'payroll', 'taxes', 'property', 'taxes', 'he', 'created', '10s', 'thousands', 'american', 'jobs', 'the', 'president', 'said', 'those', 'public', 'reports', 'not', 'accurate', 'and', 'president', 'also', 'released', 'literally', 'stacks', 'financial', 'disclosures', 'american', 'people', 'can', 'review', 'just', 'law', 'allows', 'but', 'distinction', 'joe', 'biden', '47', 'years', 'public', 'service', 'compared', 'president', 'donald', 'trump', 'brought', 'experience', 'four', 'years', 'ago', 's', 's', 's']"
Republic,"['–', 'turned', 'economy', 'around', 'cutting', 'taxes', 'rolling', 'back', 'regulation', 'unleashing', 'american', 'energy']"
Republic,"['–', 'fighting', 'free', 'fair', 'trade', 'line', '–']"
Republic,"['–', 'if', 'joe', 'biden', 'kamala', 'harris', 'white', 'house']"
Democrat,"['that', 'great', 'segue', 's']"
Democrat,"['thank', 'you', 'on', 'issue', 'economy', 'i', 'think', 'couldnt', 'more', 'fundamental', 'difference', 'between', 'donald', 'trump', 'joe', 'biden', 'joe', 'biden', 'believes', 'measure', 'health', 'strength', 'america', 'economy', 'based', 'health', 'strength', 'american', 'worker', 'american', 'family', 'on', 'other', 'hand', 'donald', 'trump', 'measures', 'strength', 'economy', 'based', 'rich', 'people', 'doing', 'which', 'passed', 'tax', 'bill', 'benefitting', 'top', '1', 'biggest', 'corporations', 'america', 'leading', '2', 'trillion', 'deficit', 'american', 'people', 'gonna', 'pay', 'for', 'on', 'day', 'one', 'joe', 'biden', 'repeal', 'tax', 'bill', 'hell', 'get', 'rid', 'it', 'and', 'hell', 'do', 'money', 'invested', 'american', 'people', 'and', 'through', 'plan', 'about', 'investing', 'infrastructure', 'something', 'donald', 'trump', 'said', 'would', 'do', 'i', 'remember', 'hearing', 'about', 'infrastructure', 'week', 'i', 'dont', 'think', 'ever', 'happened', 'but', 'joe', 'biden', 'do', 'that', 'hell', 'invest', 'infrastructure', 'it', 'about', 'upgrading', 'roads', 'bridges', 'also', 'investing', 'clean', 'energy', 'renewable', 'energy', 'joe', 'gonna', 'invest', 'money', 'we', 'need', 'do', 'around', 'innovation', 'there', 'time', 'country', 'believed', 'science', 'invested', 'research', 'development', 'so', 'we', 'were', 'innovation', 'leader', 'globe', 'joe', 'biden', 'use', 'money', 'invest', 'education', 'so', 'example', 'folks', 'want', 'go', 'two', 'year', 'community', 'college', 'free', 'if', 'come', 'family', 'makes', 'less', 'than', '125000', 'youll', 'go', 'public', 'university', 'free', 'and', 'across', 'board', 'well', 'make', 'sure', 'if', 'student', 'loan', 'debt', 'cut', '10000', 'that', 'joe', 'biden', 'thinks', 'about', 'economy', 'about', 'investing', 'people', 'country', 'opposed', 'passing', 'tax', 'bill', 'had', 'benefit', 'letting', 'american', 'corporations', 'go', 'offshore', 'do', 'business', 's', 's', 's', 's', 's']"
Democrat,"['youre', 'welcome']"
Republic,"['when', 'president', 'trump', 'i', 'took', 'office', 'america', 'had', 'gone', 'through', 'slowest', 'economic', 'recovery', 'since', 'great', 'depression', 'when', 'joe', 'biden', 'vice', 'president', 'tried', 'tax', 'spend', 'regulate', 'bail', 'way', 'back', 'growing', 'economy', 'president', 'trump', 'cut', 'taxes', 'across', 'board', 'despite', 'senator', 'harris', 'says', 'average', 'american', 'family', 'four', 'had', '2000', 'savings', 'taxes', 'and', 'rise', 'wages', 'occurred', 'most', 'predominantly', 'bluecollar', 'hard', 'working', 'americans', 'average', 'household', 'income', 'family', 'four', 'increased', '4000', 'following', 'president', 'trump', 'tax', 'cuts', 'but', 'america', 'just', 'heard', 'senator', 'harris', 'tell', 'day', 'one', 'joe', 'biden', 'gonna', 'raise', 'taxes', 'it', 'really', 'remarkable', 'think', 'susan', '–', 's', 's', 's']"
Democrat,"['that', 'not', 'i', 'said', 's']"
Republic,"['–', 'i', 'mean', 'right', 'after', 'time', 'were', 'going', 'through', 'pandemic', 'lost', '22', 'million', 'jobs', 'height', 'weve', 'already', 'added', 'back', '116', 'million', 'jobs', 'because', 'we', 'had', 'president', 'cut', 'taxes', 'rollback', 'regulation', 'unleashed', 'american', 'energy', 'fought', 'free', 'fair', 'trade', 'secured', '4', 'trillion', 'congress', 'united', 'states', 'give', 'direct', 'payments', 'families', 'saved', '50', 'million', 'jobs', 'through', 'paycheck', 'protection', 'program', 'we', 'literally', 'spared', 'no', 'expense', 'help', 'american', 'people', 'american', 'worker', 'through', 'this', 'joe', 'biden', 'kamala', 'harris', 'want', 'raise', 'taxes', 'they', 'want', 'bury', 'economy', 'under', '2', 'trillion', 'green', 'new', 'deal', 'were', 'one', 'original', 'cosponsors', 'united', 'states', 'senate', 'they', 'want', 'abolish', 'fossil', 'fuels', 'ban', 'fracking', 'would', 'cost', 'hundreds', 'thousands', 'american', 'jobs', 'across', 'heartland', 'and', 'joe', 'biden', 'wants', 'go', 'back', 'economic', 'surrender', 'china', 'we', 'took', 'office', 'half', 'international', 'trade', 'deficit', 'china', 'alone', 'and', 'joe', 'biden', 'wants', 'repeal', 'tariffs', 'president', 'trump', 'put', 'into', 'effect', 'fight', 'american', 'jobs', 'american', 'workers', 'joe', 'biden', 'says', 'democracy', 'ballot', 'make', 'no', 'mistake', 'about', 'susan', 'the', 'american', 'economy', 'american', 'comeback', 'ballot', 'four', 'more', 'years', 'growth', 'opportunity', '–', 's']"
Republic,"['–', 'four', 'more', 'years', 'president', 'donald', 'trump', '2020', 'economic', 'year', 'history', 'country']"
Democrat,"['well', 'i', 'mean', 'i', 'thought', 'we', 'saw', 'enough', 'last', 'week', 'debate', 'i', 'think', 'supposed', 'debate', 'based', 'fact', 'truth', 'and', 'truth', 'fact', 'joe', 'biden', 'has', 'very', 'clear', 'he', 'not', 'raise', 'taxes', 'anybody', 'makes', 'less', 'than', '400000', 'year', '–', 's']"
Republic,"['he', 'said', 'gonna', 'appeal', 'trump', 'tax', 'cuts', '–', 's']"
Democrat,"['mr', 'vice', 'president', 'im', 'speaking']"
Republic,"['well', '–']"
Democrat,"['im', 'speaking']"
Republic,"['–', 'itd', 'important', 'if', 'said', 'truth', 'joe', 'biden', 'said', 'twice', 'debate', 'last', 'week', 'going', 'repeal', 'trump', 'tax', 'cuts', 'that', 'tax', 'cuts', 'gave', 'average', 'working', 'family', '2000', 'tax', 'break', 'every', 'single', 'year', '–', 's']"
Democrat,"['that', '–', 'that', 'absolutely', 'not', 'true', '–']"
Republic,"['–', 'senator', 'math', '–', 's']"
Democrat,"['–', 'tax', 'bill', '–']"
Republic,"['is', 'only', 'gonna', 'repeal', 'part', 'trump', 'tax', 'cuts']"
Democrat,"['if', 'dont', 'mind', 'letting', 'finish', '–']"
Republic,['please']
Democrat,"['we', 'can', 'then', 'conversation', 'okay']"
Republic,['please']
Democrat,"['okay', 'joe', 'biden', 'not', 'raise', 'taxes', 'anyone', 'makes', 'less', 'than', '400000', 'year', 'he', 'has', 'very', 'clear', 'about', 'that', 'joe', 'biden', 'not', 'end', 'fracking', 'he', 'has', 'very', 'clear', 'about', 'that', 'joe', 'biden', 'one', 'during', 'great', 'recession', 'responsible', 'recovery', 'act', 'brought', 'america', 'back', 'and', 'now', 'trump', 'pence', 'administration', 'wants', 'take', 'credit', 'ran', 'rode', 'coattails', 'joe', 'biden', 'success', 'economy', 'had', 'beginning', 'term', 'of', 'course', 'now', 'economy', 'complete', 'disaster', 'joe', 'biden', 'one', 'hand', 'did', 'that', 'on', 'other', 'hand', 'donald', 'trump', 'has', 'reigned', 'over', 'recession', 'being', 'compared', 'great', 'depression', 'on', 'one', 'hand', 'joe', 'biden', 'responsible', 'president', 'barack', 'obama', 'affordable', 'care', 'act', 'brought', 'health', 'care', 'over', '20', 'million', 'americans', 'protected', 'people', 'pre', 'existing', 'conditions', 'also', 'did', 'saved', 'those', 'families', 'otherwise', 'were', 'going', 'bankrupt', 'because', 'hospital', 'bills', 'could', 'not', 'afford', 'on', 'other', 'hand', 'donald', 'trump', 'court', 'right', 'now', 'trying', 'get', 'rid', '–', 's']"
Democrat,"['–', 'trying', 'get', 'rid', 'affordable', 'care', 'act', 'means', 'lose', 'protections', 'if', 'preexisting', 'conditions', 'and', 'i', 'just', 'very', 'important', 'susan', '–']"
Democrat,"['–', 'just', '–', 'he', 'interrupted', 'id', 'like', 'just', 'finish', 'please', 'if', 'preexisting', 'condition', 'heart', 'disease', 'diabetes', 'breast', 'cancer', 'theyre', 'coming', 'you', 'if', 'love', 'someone', 'has', 'pre', 'existing', 'condition', '–', 's']"
Republic,['nonsense']
Republic,"['that', 'nonsense', 's']"
Democrat,"['–', 'theyre', 'coming', 'you', 'if', 'under', 'age', '26', 'parents', 'coverage', 'theyre', 'coming', 'you']"
Democrat,"['your', 'welcome']"
Republic,"['well', 'i', 'hope', 'we', 'chance', 'talk', 'about', 'health', 'care', 'because', 'obamacare', 'disaster', 'american', 'people', 'remember', 'well', 'president', 'trump', 'i', 'plans', 'improve', 'health', 'care', 'protect', 'protect', 'preexisting', 'conditions', 'every', 'american', 'but', 'look', 'senator', 'harris', 'youre', 'entitled', 'own', 'opinion', 'youre', 'not', 'entitled', 'own', 'facts', '–']"
Democrat,"['that', 'good', 'line', 's']"
Republic,"['you', 'yourself', 'said', 'multiple', 'occasions', 'were', 'running', 'president', 'would', 'ban', 'fracking', 'joe', 'biden', 'looked', 'supporter', 'eye', 'pointed', 'said', 'i', 'guarantee', 'i', 'guarantee', 'we', 'abolish', 'fossil', 'fuels', 'we', '2', 'trillion', 'version', 'green', 'new', 'deal', 'susan', 'newspaper', 'usa', 'today', 'said', 'really', 'wasnt', 'very', 'different', 'original', 'green', 'new', 'deal', 'more', 'taxes', 'more', 'regulation', 'banning', 'fracking', 'abolishing', 'fossil', 'fuel', 'crushing', 'american', 'energy', 'economic', 'surrender', 'china', 'prescription', 'economic', 'decline', 'president', 'trump', 'i', 'keep', 'america', 'growing', 'the', 'vshape', 'recovery', 'underway', 'right', 'now', 'continue', 'four', 'more', 'years', 'president', 'donald', 'trump', 'white', 'house', 's']"
